觀測時間(時),測站氣壓(hPa),溫度(°C),相對濕度(%),風速(m/s)
1,637,-9.1,95,9.1
2,636.7,-9,95,9.8
3,636.9,-6.8,66,4.6
4,636.9,-5.9,60,5.2
5,636.8,-6.6,62,4.8
6,637,-7.8,74,10.3
7,637.3,-6.6,74,10.3
8,637.7,-5.9,73,10.1
9,637.8,-7.3,86,10
10,638.1,-5.4,88,6.8
11,637.9,-3.2,88,3.4
12,637.3,-2.8,90,3
13,636.6,-2.2,89,3.7
14,636,-4.2,98,4.4
15,635.8,-4.5,100,5.1
16,635.7,-6,100,3.3
17,635.8,-6.6,107,2.9
18,636,-7.2,110,1.5
19,636,-7.2,130,3.8
20,636.4,-7.7,100,7.5
21,636.2,-8.1,115,8.6
22,636.1,-8.8,98,8.3
23,636.1,-9.1,96,7.9
24,635.9,-9.2,98,7.5
